"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 02 13:05:56 GMT 2022","Fri Sep 02 13:05:56 GMT 2022","14","chromium","ci_tests.spec.js","","","","Test_2",""
"passed","Fri Sep 02 13:05:52 GMT 2022","Fri Sep 02 13:05:52 GMT 2022","31","chromium","apitests.spec.js","","","","Patch entry",""
"passed","Fri Sep 02 13:05:52 GMT 2022","Fri Sep 02 13:05:52 GMT 2022","27","chromium","apitests.spec.js","","","","Delete entry",""
"failed","Fri Sep 02 13:05:59 GMT 2022","Fri Sep 02 13:05:59 GMT 2022","15","chromium","ci_tests.spec.js","","","","Test_4",""
"passed","Fri Sep 02 13:05:52 GMT 2022","Fri Sep 02 13:05:52 GMT 2022","31","chromium","apitests.spec.js","","","","Put entry",""
"failed","Fri Sep 02 13:05:55 GMT 2022","Fri Sep 02 13:05:55 GMT 2022","15","chromium","ci_tests.spec.js","","","","Test_1",""
"passed","Fri Sep 02 13:05:52 GMT 2022","Fri Sep 02 13:05:52 GMT 2022","67","chromium","apitests.spec.js","","","","Ping site",""
"passed","Fri Sep 02 13:05:52 GMT 2022","Fri Sep 02 13:05:52 GMT 2022","35","chromium","apitests.spec.js","","","","Add token",""
"passed","Fri Sep 02 13:05:52 GMT 2022","Fri Sep 02 13:05:52 GMT 2022","26","chromium","apitests.spec.js","","","","Сreate a new entry",""
"failed","Fri Sep 02 13:05:53 GMT 2022","Fri Sep 02 13:05:53 GMT 2022","65","chromium","apitests.spec.js","","","","Put entry faild",""
"failed","Fri Sep 02 13:05:58 GMT 2022","Fri Sep 02 13:05:58 GMT 2022","15","chromium","ci_tests.spec.js","","","","Test_3",""
